"date","marketId","longPositionPercentage","shortPositionPercentage"
"2021-02-13 18:04:22","NZDCAD","34.0","66.0"
"2021-02-13 18:04:22","NZDUSD","38.0","62.0"
"2021-02-13 18:04:22","EURNZD","73.0","27.0"
"2021-02-13 18:04:22","AUDCHF","46.0","54.0"
"2021-02-13 18:04:22","EURCHF","66.0","34.0"
"2021-02-13 18:04:22","AUDNZD","65.0","35.0"
"2021-02-13 18:04:22","USDJPY","63.0","37.0"
"2021-02-13 18:04:22","CADCHF","55.0","45.0"
"2021-02-13 18:04:22","EURUSD","39.0","61.0"
"2021-02-13 18:04:22","EURCAD","50.0","50.0"
"2021-02-13 18:04:22","GBPUSD","33.0","67.0"
"2021-02-13 18:04:22","GBPCAD","36.0","64.0"
"2021-02-13 18:04:22","CHFJPY","21.0","79.0"
"2021-02-13 18:04:22","EURGBP","64.0","36.0"
"2021-02-13 18:04:22","EURJPY","30.0","70.0"
"2021-02-13 18:04:22","GBPCHF","52.0","48.0"
"2021-02-13 18:04:22","CADJPY","51.0","49.0"
"2021-02-13 18:04:22","USDCHF","79.0","21.0"
"2021-02-13 18:04:22","NZDCHF","45.0","55.0"
"2021-02-13 18:04:22","GBPNZD","67.0","33.0"
"2021-02-13 18:04:22","AUDCAD","31.0","69.0"
"2021-02-13 18:04:22","AUDUSD","38.0","62.0"
"2021-02-13 18:04:22","GBPJPY","29.0","71.0"
"2021-02-13 18:04:22","GBPAUD","65.0","35.0"
"2021-02-13 18:04:22","NZDJPY","32.0","68.0"
"2021-02-13 18:04:22","USDSGD","71.0","29.0"
"2021-02-13 18:04:22","AUDJPY","37.0","63.0"
"2021-02-13 18:04:22","EURAUD","78.0","22.0"
"2021-02-13 18:04:22","USDCAD","77.0","23.0"
"2021-02-13 18:04:26","NZDCAD","34.0","66.0"
"2021-02-13 18:04:26","NZDUSD","38.0","62.0"
"2021-02-13 18:04:26","EURNZD","73.0","27.0"
"2021-02-13 18:04:26","AUDCHF","46.0","54.0"
"2021-02-13 18:04:26","EURCHF","66.0","34.0"
"2021-02-13 18:04:26","AUDNZD","65.0","35.0"
"2021-02-13 18:04:26","USDJPY","63.0","37.0"
"2021-02-13 18:04:26","CADCHF","55.0","45.0"
"2021-02-13 18:04:26","EURUSD","39.0","61.0"
"2021-02-13 18:04:26","EURCAD","50.0","50.0"
"2021-02-13 18:04:26","GBPUSD","33.0","67.0"
"2021-02-13 18:04:26","GBPCAD","36.0","64.0"
"2021-02-13 18:04:26","CHFJPY","21.0","79.0"
"2021-02-13 18:04:26","EURGBP","64.0","36.0"
"2021-02-13 18:04:26","EURJPY","30.0","70.0"
"2021-02-13 18:04:26","GBPCHF","52.0","48.0"
"2021-02-13 18:04:26","CADJPY","51.0","49.0"
"2021-02-13 18:04:26","USDCHF","79.0","21.0"
"2021-02-13 18:04:26","NZDCHF","45.0","55.0"
"2021-02-13 18:04:26","GBPNZD","67.0","33.0"
"2021-02-13 18:04:26","AUDCAD","31.0","69.0"
"2021-02-13 18:04:26","AUDUSD","38.0","62.0"
"2021-02-13 18:04:26","GBPJPY","29.0","71.0"
"2021-02-13 18:04:26","GBPAUD","65.0","35.0"
"2021-02-13 18:04:26","NZDJPY","32.0","68.0"
"2021-02-13 18:04:26","USDSGD","71.0","29.0"
"2021-02-13 18:04:26","AUDJPY","37.0","63.0"
"2021-02-13 18:04:26","EURAUD","78.0","22.0"
"2021-02-13 18:04:26","USDCAD","77.0","23.0"
"2021-02-13 18:04:43","NZDCAD","34.0","66.0"
"2021-02-13 18:04:43","NZDUSD","38.0","62.0"
